tail_number,engine_uid
OE-LKC,3CM027
OE-LKO,3CM027
OE-LQG,3CM027
OE-LQJ,3CM027
OE-LQU,3CM027
OE-LKX,3CM027
OE-LKY,3CM027
G-EZAJ,3CM027
G-EZAN,3CM027
G-EZAO,3CM027
G-EZAU,3CM027
G-EZAV,3CM027
G-EZAX,01P08CM106
G-EZBH,3CM027
G-EZBI,3CM027
G-EZBJ,3CM027
G-EZBO,3CM027
G-EZBR,01P08CM106
G-EZBT,01P08CM106
G-EZBU,01P08CM106
G-EZBV,01P08CM106
G-EZBW,3CM027
G-EZBX,3CM027
G-EZBY,01P08CM106
G-EZBZ,3CM027
G-EZDA,01P08CM106
G-EZDH,01P08CM106
G-EZDJ,01P08CM106
G-EZDK,01P08CM106
G-EZDL,01P08CM106
G-EZDM,01P08CM106
G-EZDN,01P08CM106
G-EZDR,01P08CM106
G-EZDV,01P08CM106
G-EZDX,01P08CM106
G-EZFI,01P08CM106
G-EZGK,01P08CM106
G-EZGN,3CM027
G-EZGO,01P08CM106
RA-73815,3CM028
RA-73816,3CM028
RA-73811,3CM028
RA-73810,3CM028
N882UA,3IA007
N883UA,3IA007
N884UA,3IA007
N897UA,3IA007
N898UA,3IA007
N803UA,3IA006
N804UA,3IA006
N806UA,3IA006
N807UA,3IA006
N809UA,3IA006
N811UA,3IA006
N813UA,3IA006
N814UA,3IA006
N815UA,3IA006
N816UA,3IA006
N817UA,3IA006
N821UA,3IA006
N822UA,3IA006
N823UA,3IA006
N826UA,3IA006
N828UA,3IA006
N829UA,3IA006
N830UA,3IA006
N831UA,3IA006
N832UA,3IA006
N833UA,3IA006
N834UA,3IA006
N835UA,3IA006
N836UA,3IA006
N837UA,3IA006
N838UA,3IA006
N839UA,3IA006
N841UA,3IA006
N842UA,3IA006
N843UA,3IA006
N844UA,3IA006
N846UA,3IA006
N847UA,3IA006
N848UA,3IA006
N849UA,3IA006
N850UA,3IA006
N851UA,3IA006
N852UA,3IA006
N853UA,3IA006
N854UA,3IA006
N855UA,3IA006
YR-ABA,3CM027
YR-ABB,3CM028
LZ-MAA,3CM027
EC-NHP,3CM027
EC-NDG,01P08CM107
EC-NDH,01P08CM107
EC-NCB,3CM027
EC-NGL,3CM028
EC-MTC,3CM027
EC-MTD,3CM027
EC-MTE,3CM027
EC-MTF,3CM027
EC-MTM,3CM027
EC-MTN,3CM027
EC-MUC,3CM028
EC-MUT,3CM027
EC-MUU,3CM027
EC-MUX,3CM027
EC-MUY,3CM027
EC-MGF,3CM028
EC-MIQ,3CM027
EC-MIR,3CM028
UR-WRY,3CM028
HC-CPZ,3IA007
HC-CPY,3IA007
CC-COU,3IA007
HC-CPR,3IA007
HC-CPJ,3IA007
CC-CYI,3IA007
CC-CYJ,3IA007
CC-CYL,3IA007
EP-ZAX,4CM035
D-AVWA,01P22PW160
B-32NH,01P20CM128
B-32JM,01P20CM128
B-32HP,01P20CM128
B-32JY,01P20CM128
B-32JJ,01P20CM128
B-32LM,01P20CM128
B-32KX,01P20CM128
B-32C0,01P20CM128
B-32E7,01P20CM128
B-007E,01P20CM128
LY-FAF,3CM026
2-TKOC,3CM028
M-ABTS,3CM028
VP-CQB,1IA003
9S-ALU,3CM028
N521SH,1IA003
YL-LDN,1IA003
EP-TAB,1IA001
UR-CSS,1CM009
OE-LMB,1IA003
G-MIDO,1IA003
B-2221,3CM026
B-2228,3CM026
B-2356,3CM026
B-2357,3CM026
B-2359,3CM026
B-6002,3CM026
B-6006,3CM026
VQ-CBA,01P08CM105
ES-SAY,1IA003
B-6279,1IA003
2-PCIE,1IA003
D-AICC,1CM009
D-AICD,1CM009
D-AICE,1CM009
D-AICF,1CM009
N319US,1CM008
N327NW,1CM008
B-HSG,1IA003
B-HSJ,1IA003
TC-ODB,1IA003
OE-IIO,1IA003
N201FR,2CM014
N202FR,2CM014
VT-CCU,3CM026
5A-WAT,1CM008
N228NV,3CM026
N222NV,3CM026
VP-CJD,1IA003
PK-AZR,3CM028
EP-IEC,1IA003
EP-IEE,1CM008
2-JJPA,1IA003
VN-A555,1IA003
LY-FAD,3CM026
9K-AKA,1CM009
9K-AKB,1CM009
9K-AKC,1CM009
YL-LDD,1IA003
LY-FAE,1IA003
LY-CCK,1IA003
D-AIQF,1CM008
D-AIQS,1CM008
9H-SLE,3CM026
9H-SLH,3CM026
9H-SLD,3CM026
9H-SLF,3CM026
G-GATH,1IA003
TC-OBS,1IA003
TC-OBU,1IA003
9H-SLI,3CM026
9H-SLJ,3CM026
OY-KAU,1IA003
CS-TKK,3CM026
AP-BLH,1IA003
AP-BLI,1IA003
VN-A563,1IA003
EP-APH,1IA001
N678MK,1IA001
YL-LDT,1IA003
YL-LDU,1IA003
LY-BSP,3CM026
JA05MC,3CM026
ES-SAD,01P08CM105
HB-IJI,01P08CM105
D-AABK,1IA003
N315MQ,1IA003
VT-NAG,3CM026
VP-BWZ,1IA003
OE-IKE,01P08CM107
B-9948,1IA003
VQ-CSC,1IA003
VQ-CSD,1IA003
N458AC,1IA003
