departure_date_local,timestamp_utc_start,timestamp_utc_end,carrier,flight_number,tail_number,origin_airport,destination_airport,attributed_contrail_km,eef_climatology_terajoules,analyzed_flight_length_km
2024-09-26,1727355027,1727355809,D0,1,GDHMC,CVG,EMA,229.6313785,27.61285904,2379.546578
2024-09-25,1727318504,1727318787,D0,4,GDHMA,EMA,CVG,66.95495332,39.43149088,2113.180374
2024-09-26,null,null,D0,367,GDHLJ,JFK,EMA,null,null,1828.019162
2024-09-25,null,null,D0,701,GDHLW,CVG,BAH,null,null,2563.158486
2024-09-23,null,null,D0,653,GDHLW,LAX,EMA,null,null,5616.177591
2024-09-10,1726031426,1726031534,D0,2,GDHMA,EMA,CVG,25.8106389,12.69534384,1939.454194
2024-09-10,1726029740,1726029982,D0,2,GDHMA,EMA,CVG,60.50322774,31.16804502,1939.454194
2024-09-10,1726030700,1726030817,D0,2,GDHMA,EMA,CVG,28.74438122,14.27907451,1939.454194
2024-09-26,null,null,D0,372,GDHLE,EMA,CVG,null,null,1903.66411
2024-09-27,null,null,D0,701,GDHLW,CVG,BAH,null,null,2565.474003
2024-09-27,null,null,D0,375,GDHLE,CVG,BRU,null,null,1509.165328
2024-09-07,1725719680,1725719789,D0,4,GDHMA,CVG,NGO,26.376015,1.157973001,3787.280907
2024-09-04,1725456026,1725456453,D0,820,GDHLX,CVG,LEJ,92.91327348,9.084464638,2176.576576
2024-09-04,1725452295,1725453137,D0,820,GDHLX,CVG,LEJ,209.5196191,22.00647264,2176.576576
2024-09-04,null,null,D0,366,GDHLO,EMA,JFK,null,null,1417.659279
2024-09-26,1727335233,1727335713,D0,51,GDHLY,PVG,LAX,126.8912723,65.28465075,1235.779861
2024-09-26,null,null,D0,4,GDHMA,CVG,NGO,null,null,2264.747327
2024-09-26,1727356304,1727356457,D0,375,GDHLS,CVG,BRU,45.35315062,5.918582922,2699.279091
2024-09-26,1727341471,1727341592,D0,866,GDHLE,CVG,EMA,30.13969136,1.183721029,2382.171836
2024-09-26,1727342983,1727343103,D0,866,GDHLE,CVG,EMA,29.84535749,1.43622765,2382.171836
2024-09-25,null,null,D0,372,GDHLS,EMA,CVG,null,null,2015.203579
2024-09-26,1727331700,1727332174,D0,366,GDHLJ,EMA,JFK,106.3764135,20.5433039,1544.782916
2024-09-18,null,null,D0,523,GDHLU,CVG,LEJ,null,null,2001.923679
2024-09-05,null,null,D0,372,GDHLE,EMA,CVG,null,null,2213.178481
2024-09-10,null,null,D0,521,GDHMD,CVG,LEJ,null,null,2209.831165
2024-09-12,null,null,D0,709,GDHLY,CVG,BAH,null,null,2583.131642
2024-09-12,null,null,D0,4,GDHLV,CVG,NGO,null,null,2683.600955
2024-09-06,null,null,D0,384,GDHLL,LEJ,CVG,null,null,1253.811167
2024-09-05,1725588205,1725588257,D0,384,GDHLW,LEJ,CVG,12.02465279,7.266103517,2254.754428
2024-09-05,1725588753,1725588922,D0,384,GDHLW,LEJ,CVG,40.23499069,23.97864042,2254.754428
